127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.039518
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.072257
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.086730
127.0.0.1, 2018-10-25 21:10:45, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.000758
127.0.0.1, 2018-10-25 21:10:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2018-10-25 21:10:50, POST, /admin/default/index, HTTP/1.1, 303, 0.018146
127.0.0.1, 2018-10-25 21:10:50, GET, /admin/default/site, HTTP/1.1, 200, 0.065599
127.0.0.1, 2018-10-25 21:10:51, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.002103
127.0.0.1, 2018-10-25 21:10:51, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.006925
127.0.0.1, 2018-10-25 21:10:51, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2018-10-25 21:10:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.294138
127.0.0.1, 2018-10-25 21:10:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2018-10-25 21:11:05, GET, /admin/default/errors/start, HTTP/1.1, 500, 0.164492
127.0.0.1, 2018-10-25 21:11:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2018-10-25 21:11:07, GET, /admin/default/ticket/admin/127.0.0.1.2018-10-25.21-11-05.c27ee4b6-0d09-46bc-a67f-f4b1afbb6f96, HTTP/1.1, 200, 0.104439
127.0.0.1, 2018-10-25 21:11:07, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000918
127.0.0.1, 2018-10-25 21:11:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2018-10-25 21:11:10, GET, /admin/default/site, HTTP/1.1, 200, 0.038375
127.0.0.1, 2018-10-25 21:11:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000470
127.0.0.1, 2018-10-25 21:11:12, GET, /start/default/index, HTTP/1.1, 200, 0.191383
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000946
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002263
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002898
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001735
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003378
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002368
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000953
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.012110
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000586
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002633
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.002098
127.0.0.1, 2018-10-25 21:11:12, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000493
127.0.0.1, 2018-10-25 21:11:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2018-10-25 21:11:14, GET, /start/default/add, HTTP/1.1, 303, 0.037389
127.0.0.1, 2018-10-25 21:11:14, GET, /start/default/user/login, HTTP/1.1, 200, 0.025777
127.0.0.1, 2018-10-25 21:11:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2018-10-25 21:11:17, GET, /start/default/user/register, HTTP/1.1, 200, 0.026646
127.0.0.1, 2018-10-25 21:11:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2018-10-25 21:11:30, POST, /start/default/user/register, HTTP/1.1, 200, 0.047066
127.0.0.1, 2018-10-25 21:11:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2018-10-25 21:11:35, POST, /start/default/user/register, HTTP/1.1, 500, 0.082764
127.0.0.1, 2018-10-25 21:11:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000609
127.0.0.1, 2018-10-25 21:11:38, GET, /admin/default/ticket/start/127.0.0.1.2018-10-25.21-11-35.850bdfce-54c6-4a9b-8b5c-50457104ed7b, HTTP/1.1, 200, 0.064687
127.0.0.1, 2018-10-25 21:11:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
127.0.0.1, 2018-10-25 22:36:48, GET, /, HTTP/1.1, 303, 0.109015
127.0.0.1, 2018-10-25 22:36:48, GET, /welcome/default/index, HTTP/1.1, 500, 0.731056
127.0.0.1, 2018-10-25 22:36:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2018-10-25 22:36:51, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-25.22-36-48.1924d249-b313-4c07-a3a8-868973b46426, HTTP/1.1, 303, 0.224657
127.0.0.1, 2018-10-25 22:36:51, GET, /admin/default/index, HTTP/1.1, 200, 0.053977
127.0.0.1, 2018-10-25 22:36:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2018-10-25 22:36:55, POST, /admin/default/index, HTTP/1.1, 303, 0.019406
